cohort_id,user_count,percentage,dominant_PROFILE_TYPE,dominant_PROFILE_TYPE_percentage,dominant_Location_CITY,dominant_Location_CITY_percentage,dominant_Location_Region_user,dominant_Location_Region_user_percentage,dominant_Location_Country_user,dominant_Location_Country_user_percentage,dominant_Genre_user,dominant_Genre_user_percentage,dominant_Language_user,dominant_Language_user_percentage,dominant_Content_type_user,dominant_Content_type_user_percentage,dominant_Category_user,dominant_Category_user_percentage
1000,22,0.02919,Adult,100.0,Pakur,13.6364,MP,45.4545,India,100.0,NC,100.0,NC,100.0,NC,100.0,NC,100.0
1001,15,0.019902,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,"Thriller,Crime, Action,Crime,Thriller",13.3333,NC,86.6667,Video,100.0,"Movies, Shows",46.6667
1002,44,0.058379,Adult,100.0,Mumbai (Parel),86.3636,MH,95.4545,India,100.0,News,43.1818,Hindi,86.3636,Video,97.7273,TV Channels,95.4545
1003,23,0.030517,Adult,100.0,"Pathankot, Abohar, Chandigarh, Sri Ganganagar, Ludhiana, Amritsar, Jalandhar",4.3478,"JK, PB, MH",8.6957,India,100.0,"News, News,Event,Parliament, Music,Arts & Culture, Music,News, History",4.3478,"Punjabi, Hindi",34.7826,"Audio, Video",60.8696,TV Channels,39.1304
1004,15,0.019902,Adult,100.0,Hyderabad (Basant Nagar Colony),100.0,TG,100.0,India,100.0,"Entertainment,Movies, Educational,News,Infotainment, Romance,Action,Thriller, Music,Entertainment,Movies",6.6667,Hindi,66.6667,"Audio, Video",73.3333,"Radio Channels, TV Channels",53.3333
1005,37,0.049092,Adult,100.0,Pitampura,94.5946,DL,100.0,India,100.0,"News, Music,Entertainment,Movies",5.4054,Hindi,56.7568,Video,67.5676,TV Channels,43.2432
1006,59,0.078282,Adult,100.0,Patna,91.5254,BR,100.0,India,100.0,"Educational,News,Infotainment",25.4237,Hindi,88.1356,Video,100.0,TV Channels,96.6102
1007,95,0.126047,Adult,100.0,Navi Mumbai (Reliance Corporate Park),94.7368,MH,96.8421,India,100.0,News,98.9474,NC,100.0,\Upcoming,100.0,Live,100.0
1008,50,0.06634,Adult,100.0,Bengaluru,22.0,KA,24.0,India,100.0,"Comedy,Drama,Entertainment,Humor",84.0,NC,100.0,Video,100.0,Movies,96.0
1009,11,0.014595,Adult,100.0,Kolhāpur,18.1818,MH,63.6364,India,100.0,"Mystery,Drama,Crime,Comedy",27.2727,Hindi,100.0,Video,100.0,Shows,100.0
1010,85,0.112778,Adult,100.0,Bengaluru,9.4118,JK,20.0,India,100.0,Patriotic,98.8235,NC,100.0,Video,100.0,Shows,100.0
1011,13,0.017248,Adult,100.0,Naroda,30.7692,GJ,30.7692,India,100.0,"Music,Arts & Culture",46.1538,Hindi,92.3077,Audio,92.3077,Radio Channels,92.3077
1012,33,0.043785,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,NC,100.0,NC,100.0,NC,100.0,NC,100.0
1013,23,0.030517,Adult,100.0,Patna (Police Colony),100.0,BR,100.0,India,100.0,"Spiritual,Devotional",8.6957,Hindi,95.6522,Video,100.0,TV Channels,47.8261
1014,15,0.019902,Adult,100.0,Narmadapuram,40.0,MP,100.0,India,100.0,"News, Music",20.0,Hindi,73.3333,Video,93.3333,TV Channels,73.3333
1015,27,0.035824,Adult,100.0,Navi Mumbai (Reliance Corporate Park),7.4074,UP,22.2222,India,100.0,Spiritual,33.3333,NC,62.963,Video,100.0,Documentaries,74.0741
1016,25,0.03317,Adult,100.0,Jaipur,92.0,RJ,96.0,India,100.0,"Action,Crime,Thriller",16.0,NC,92.0,Video,100.0,Movies,92.0
1017,17,0.022556,Adult,100.0,Mumbai,47.0588,MH,100.0,India,100.0,"Kids & Family,Drama",88.2353,Hindi,100.0,Video,100.0,Shows,100.0
1018,9,0.011941,Child,100.0,Abu Dhabi,22.2222,AZ,33.3333,UAE,77.7778,News,33.3333,Hindi,66.6667,Video,88.8889,TV Channels,55.5556
1019,43,0.057053,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,"Music,Arts & Culture",83.7209,Hindi,100.0,Audio,100.0,Radio Channels,100.0
1020,26,0.034497,Adult,96.1538,"Aligarh, Bareilly",7.6923,UP,30.7692,India,100.0,"News, Music",15.3846,Hindi,46.1538,Video,100.0,TV Channels,76.9231
1021,17,0.022556,Adult,100.0,Ghaziabad,29.4118,UP,64.7059,India,100.0,"Action,Drama,Political,Entertainment",76.4706,NC,94.1176,Video,100.0,Shows,100.0
1022,38,0.050419,Adult,100.0,Lucknow,13.1579,UP,36.8421,India,100.0,Sports,97.3684,NC,100.0,\Upcoming,100.0,Live,100.0
1023,10,0.013268,Adult,100.0,Chennai,100.0,TN,100.0,India,100.0,"Mystery,Drama,Crime,Comedy",40.0,Hindi,100.0,Video,100.0,Shows,100.0
1024,3,0.00398,Adult,100.0,"Chilla Saroda Khadar, Malakpur Kohi Rangpur, Delhi, Pūth Kalān, Ghaziabad, Mumbai (Chakala Industrial Area), Navi Mumbai (Reliance Corporate Park)",33.3333,"UP, MH, DL",33.3333,India,100.0,News,66.6667,NC,100.0,\Upcoming,100.0,Live,100.0
1025,19,0.025209,Adult,100.0,Chennai,100.0,TN,100.0,India,100.0,NC,100.0,NC,100.0,NC,100.0,NC,100.0
